endereco,datahora,latitude,longitude
"Rua Serra do Evangelista, 1-9, São Paulo - SP, Brasil",2015-10-09 15:08:10,"-23,608297","-46,435087"
"Av. do Estado, 490 - Cambuci, São Paulo - SP, Brasil",2015-10-10 16:14:49,"-23,56317","-46,611447"
"Av. Eng. Bilings, 2177-2931 - Jaguare, São Paulo - SP, Brasil",2015-10-18 19:11:36,"-23,546251","-46,734913"
"R. Antônio Gomes, 10a - Vila Santa Clara, São Paulo - SP, 03274-010, Brasil",2015-11-30 16:17:26,"-23,57515025","-46,55714548"
"R. Demétrio Ribeiro, 50 - Cidade Mãe do Céu, São Paulo - SP, Brasil",2015-12-07 15:36:07,"-23,55321576","-46,57826227"
"Av. Onze de Junho, 730 - Saúde, São Paulo - SP, 04041-053, Brasil",2015-12-08 12:17:43,"-23,601531","-46,643954"
"Av. Indianópolis, 152-238 - Indianópolis, São Paulo - SP, Brasil",2015-12-09 12:33:17,"-23,601372","-46,657266"
"Av. Eng. Bilings, 193-557 - Jaguare, São Paulo - SP, 05321-010, Brasil",2015-12-12 20:16:42,"-23,558014","-46,714227"
"Rod. Ayrton Senna da Silva, 2356-2678 - Tatuapé, São Paulo - SP, 03077-005, Brasil",2015-12-18 18:31:55,"-23,52656998","-46,57518513"
"Rua Loefgren, 2165-2187 - Vila Clementino, São Paulo - SP, 04040-033, Brasil",2015-12-23 14:23:46,"-23,599473","-46,646601"
